Human_Readable_Topic,update_date,Categories
Molecular and Protein Representation Learning,2024-02-22,Applications and Use Cases
Autonomous Driving Technologies,2023-09-07,Applications and Use Cases
Legal Language Models Evaluation,2023-03-10,Evaluation and Benchmarks
Legal Language Models Evaluation,2023-03-10,Applications and Use Cases
Reinforcement Learning from Human Feedback,2023-03-10,Learning Paradigms
Multimodal Large Language Models (MLLMs),2024-02-20,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-02-20,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2023-03-14,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-03-14,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2023-03-17,Applications and Use Cases
Emotion Recognition and Analysis in Text,2023-03-14,Applications and Use Cases
Text-to-SQL Generation and Optimization,2023-03-15,Applications and Use Cases
Text-to-SQL Generation and Optimization,2023-03-15,Optimization Techniques
Ethics in Artificial Intelligence Development,2024-04-18,Societal Impacts and Ethics
Applying Large Language Models in Requirements Engineering,2023-03-15,Applications and Use Cases
Explainability in Large Language Models,2023-06-26,Societal Impacts and Ethics
Explainability in Large Language Models,2023-06-26,Core Models and Architectures
Dialogue Systems and Conversational AI,2023-03-28,Applications and Use Cases
Financial NLP and Large Language Models,2023-06-23,Applications and Use Cases
Phishing Emails and Cybersecurity Threats,2024-02-16,Applications and Use Cases
Phishing Emails and Cybersecurity Threats,2024-02-16,Societal Impacts and Ethics
Dialogue Systems and Conversational AI,2023-08-29,Applications and Use Cases
Named Entity Recognition (NER),2023-06-12,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-07-23,Applications and Use Cases
Grammatical Error Correction with Large Language Models,2024-05-24,Applications and Use Cases
Music Generation and Retrieval Systems,2023-11-21,Applications and Use Cases
Knowledge Distillation in Neural Networks,2023-06-05,Optimization Techniques
Knowledge Distillation in Neural Networks,2023-06-05,Core Models and Architectures
Theory of Mind in Large Language Models,2023-11-16,Core Models and Architectures
Theory of Mind in Large Language Models,2023-11-16,Societal Impacts and Ethics
Ethics in Artificial Intelligence Development,2023-08-01,Societal Impacts and Ethics
Text-to-Motion Generation and Animation,2023-03-08,Applications and Use Cases
Stance Detection in Natural Language Processing,2024-08-13,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-01-02,Applications and Use Cases
Cybersecurity and Threat Analysis,2023-01-11,Applications and Use Cases
Cybersecurity and Threat Analysis,2023-01-11,Societal Impacts and Ethics
Generative AI and its Applications,2023-01-13,Applications and Use Cases
Ethics in Artificial Intelligence Development,2023-02-28,Societal Impacts and Ethics
Chatbot Conversations and Dialogue Systems,2024-05-08,Applications and Use Cases
Dialogue Systems and Conversational AI,2023-09-11,Applications and Use Cases
Ethics in Artificial Intelligence Development,2023-01-19,Societal Impacts and Ethics
Generative AI and its Applications,2023-01-20,Applications and Use Cases
Automated Program Repair with Large Language Models,2023-01-23,Applications and Use Cases
Machine Translation with Large Language Models,2023-11-03,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-01-25,Applications and Use Cases
Text Style Transfer,2023-01-26,Applications and Use Cases
Text Style Transfer,2023-01-26,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-02-09,Learning Paradigms
Large Language Models in Healthcare Applications,2023-05-30,Applications and Use Cases
Ethics in Artificial Intelligence Development,2023-01-31,Societal Impacts and Ethics
AI-powered Tutoring in Programming Education,2023-05-23,Applications and Use Cases
Ethics in Artificial Intelligence Development,2023-05-30,Societal Impacts and Ethics
Text Summarization with Large Language Models,2023-05-29,Applications and Use Cases
Automated Grading and Assessment with Large Language Models,2023-06-29,Applications and Use Cases
Humor Detection and Generation,2023-09-26,Applications and Use Cases
Large Language Models in Software Engineering,2023-06-26,Applications and Use Cases
Chain-of-Thought Prompting for Reasoning,2024-09-24,Learning Paradigms
Chain-of-Thought Prompting for Reasoning,2024-09-24,Core Models and Architectures
Jailbreak Attacks on Large Language Models,2024-09-09,Societal Impacts and Ethics
Jailbreak Attacks on Large Language Models,2024-09-09,Evaluation and Benchmarks
Impact of AI on Software Development,2024-09-09,Applications and Use Cases
Impact of AI on Software Development,2024-09-09,Societal Impacts and Ethics
Code Generation with Large Language Models,2024-09-09,Applications and Use Cases
AI-Powered Design and Prototyping Tools,2024-09-09,Applications and Use Cases
AI-Powered Design and Prototyping Tools,2024-09-09,Infrastructure and Tools
Large Language Models in Healthcare Applications,2024-09-10,Applications and Use Cases
Machine-Assisted Peer Review,2024-09-10,Applications and Use Cases
Machine-Assisted Peer Review,2024-09-10,Societal Impacts and Ethics
Document-Level Relation Extraction,2024-11-13,Applications and Use Cases
AI-powered Tutoring in Programming Education,2024-09-11,Applications and Use Cases
Dialogue Systems and Conversational AI,2024-09-11,Applications and Use Cases
Autonomous Driving Technologies,2024-09-11,Applications and Use Cases
Detecting Vulnerabilities in Code with Large Language Models,2024-09-11,Applications and Use Cases
Explainability in Large Language Models,2024-09-12,Societal Impacts and Ethics
Explainability in Large Language Models,2024-09-12,Core Models and Architectures
Jailbreak Attacks on Large Language Models,2024-09-13,Societal Impacts and Ethics
Jailbreak Attacks on Large Language Models,2024-09-13,Evaluation and Benchmarks
Ethics in Artificial Intelligence Development,2024-09-16,Societal Impacts and Ethics
Autonomous Driving Technologies,2024-09-17,Applications and Use Cases
Legal Language Models Evaluation,2024-09-17,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-09-17,Applications and Use Cases
AI-powered Tutoring in Programming Education,2024-10-14,Applications and Use Cases
Tool Learning with Large Language Models,2024-09-20,Learning Paradigms
Tool Learning with Large Language Models,2024-09-20,Core Models and Architectures
AI-powered Tutoring in Programming Education,2024-09-17,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-09-17,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-09-20,Applications and Use Cases
Automated Program Repair with Large Language Models,2024-09-18,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-09-18,Applications and Use Cases
AI-powered Tutoring in Programming Education,2024-09-18,Applications and Use Cases
Federated Learning for Large Language Models,2024-06-05,Learning Paradigms
Federated Learning for Large Language Models,2024-06-05,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2024-06-04,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2024-06-04,Infrastructure and Tools
Personalized Recommendation Systems,2024-06-04,Applications and Use Cases
Optimizing GPU Utilization for Large Language Models,2024-06-06,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2024-06-06,Infrastructure and Tools
Detecting AI-Generated Texts,2024-06-04,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-06-04,Evaluation and Benchmarks
Social Bot Detection Methods,2024-06-04,Applications and Use Cases
Social Bot Detection Methods,2024-06-04,Societal Impacts and Ethics
Large Language Models in Healthcare Applications,2024-11-11,Applications and Use Cases
Cybersecurity and Threat Analysis,2024-06-05,Applications and Use Cases
Cybersecurity and Threat Analysis,2024-06-05,Societal Impacts and Ethics
Event Extraction and Semantic Annotation,2024-06-05,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-06-06,Applications and Use Cases
Dialogue Systems and Conversational AI,2024-06-06,Applications and Use Cases
Long-Context Language Model Evaluation,2024-06-06,Evaluation and Benchmarks
Long-Context Language Model Evaluation,2024-06-06,Core Models and Architectures
Fairness in Large Language Models,2024-06-06,Societal Impacts and Ethics
Grammatical Error Correction with Large Language Models,2024-06-12,Applications and Use Cases
Poetry Generation and Analysis,2024-06-06,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-07-25,Applications and Use Cases
Language-Guided 3D Scene Generation,2024-06-07,Applications and Use Cases
Adversarial Attacks on Vision Language Models,2024-07-02,Societal Impacts and Ethics
Adversarial Attacks on Vision Language Models,2024-07-02,Evaluation and Benchmarks
Graph Learning with Large Language Models,2024-06-10,Core Models and Architectures
Graph Learning with Large Language Models,2024-06-10,Learning Paradigms
Named Entity Recognition (NER),2024-06-21,Applications and Use Cases
Multi-Agent Debate Frameworks,2024-10-10,Applications and Use Cases
Multi-Agent Debate Frameworks,2024-10-10,Learning Paradigms
Molecular and Protein Representation Learning,2023-06-01,Core Models and Architectures
Molecular and Protein Representation Learning,2023-06-01,Applications and Use Cases
Music Generation and Retrieval Systems,2023-06-02,Applications and Use Cases
Ethics in Artificial Intelligence Development,2024-10-28,Societal Impacts and Ethics
AI-Assisted Code Generation Tools Evaluation,2023-06-12,Evaluation and Benchmarks
AI-Assisted Code Generation Tools Evaluation,2023-06-12,Applications and Use Cases
AI-powered Tutoring in Programming Education,2023-06-02,Applications and Use Cases
Table Understanding and Reasoning with Language Models,2023-08-01,Applications and Use Cases
Text Summarization with Large Language Models,2023-06-05,Applications and Use Cases
Legal Language Models Evaluation,2023-06-16,Evaluation and Benchmarks
Legal Language Models Evaluation,2023-06-16,Applications and Use Cases
Dialogue Systems and Conversational AI,2023-06-05,Applications and Use Cases
Log Parsing and Analysis Techniques,2023-08-22,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-06-12,Applications and Use Cases
Detecting AI-Generated Texts,2023-06-06,Societal Impacts and Ethics
Detecting AI-Generated Texts,2023-06-06,Evaluation and Benchmarks
Automated Program Repair with Large Language Models,2024-05-09,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-06-12,Applications and Use Cases
AI-powered Tutoring in Programming Education,2023-06-06,Applications and Use Cases
Human Activity Recognition with Wearable Sensors,2023-06-12,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-06-06,Applications and Use Cases
Conversational Search and Retrieval Systems,2023-06-06,Applications and Use Cases
AI-powered Tutoring in Programming Education,2023-06-06,Applications and Use Cases
Open-Vocabulary 3D Scene Segmentation,2023-09-28,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-06-07,Applications and Use Cases
